,Original Query,modified_query,Roberta Formality Ranking Score,Concreteness Score,Linguistic Formality Score,Readability,question_id
0,What is George Rankin's occupation?,"In what professional capacity does one identify George Rankin, considering the multifaceted nature of vocational classifications?",0.9944228529930116,1.8272727272727272,69.44444444444444,-26.192499999999995,0
1,What is John Mayne's occupation?,In what professional capacity does John Mayne engage his vocational endeavors?,0.9966689944267272,1.94375,62.5,18.77909090909094,1
2,What is Henry Feilden's occupation?,In what capacity or professional domain does one find Henry Feilden engaged in his vocational pursuits?,0.9967052340507508,1.8400000000000003,61.76470588235294,26.682500000000005,2
3,What is Kathy Saltzman's occupation?,In what professional capacity does the individual known as Kathy Saltzman engage in vocational activities?,0.9967759251594543,1.7420000000000002,78.125,5.490000000000009,3
4,What is Eleanor Davis's occupation?,Inquiring into the professional vocation or occupational engagement of the individual known as Eleanor Davis.,0.9963842630386353,1.874444444444444,81.25,-11.429999999999978,4
5,What is Alexander Rinnooy Kan's occupation?,"In what professional capacity does the individual known as Alexander Rinnooy Kan engage, and how might one delineate his vocational undertakings?",0.9969483017921448,1.595,69.56521739130434,12.291428571428613,5
6,What is Scooter Braun's occupation?,In what manner does one delineate the professional undertakings and vocational affiliations of the individual known as Scooter Braun?,0.9968992471694946,1.8681818181818184,72.5,18.350000000000023,6
7,What is Leona Detiège's occupation?,"In what vocational capacity does Leona Detiège engage, and what specific professional role delineates her career pursuits?",0.9967883825302124,1.5816666666666668,65.78947368421052,10.42705882352942,7
8,"What is William Murray, 1st Earl of Mansfield's occupation?","What particular vocation or professional engagement might be ascribed to the historical figure known as William Murray, who holds the esteemed title of the inaugural Earl of Mansfield?",0.9885735511779784,1.7294117647058824,71.66666666666666,18.27928571428575,8
9,What is Þorsteinn Bachmann's occupation?,In what capacity or professional engagement does the individual known as Þorsteinn Bachmann partake within the socio-economic framework?,0.9970847964286804,1.91,78.94736842105263,4.992105263157924,9
10,What is Herlyn Espinal's occupation?,In what professional capacity does the individual known as Herlyn Espinal engage within the societal framework of occupational roles?,0.9967023730278016,1.8675000000000004,82.5,0.5394736842105203,10
11,What is Jacob Kraemer's occupation?,In what professional capacity does one Jacob Kraemer engage in vocational endeavors?,0.9968505501747132,1.50875,76.92307692307693,11.355000000000018,11
12,What is Fred C. Newmeyer's occupation?,In what professional capacity does the individual identified as Fred C. Newmeyer engage in vocational activities?,0.9967766404151917,1.4172727272727272,79.41176470588235,8.365000000000009,12
13,What is Edward Corser's occupation?,"In what professional capacity does Edward Corser engage, and how might one delineate the nature of his vocational endeavors?",0.9966852068901062,1.671,66.66666666666666,27.255263157894777,13
14,What is Bae Geu-rin's occupation?,What specific professional engagement or vocational pursuit does Bae Geu-rin partake in?,0.987431526184082,1.8822222222222225,76.92307692307693,24.440000000000023,14
15,What is Javier Alva Orlandini's occupation?,In what professional capacity does Javier Alva Orlandini engage within the socio-economic framework?,0.9968258142471312,1.4211111111111112,82.14285714285714,-6.789285714285711,15
16,What is Edgar Allan Poe's occupation?,In what capacity has Edgar Allan Poe engaged in professional endeavors throughout the course of his life?,0.9964883327484132,1.412,75.0,40.2858823529412,16
17,What is John Finlay's occupation?,"In what particular professional capacity does one identify John Finlay, and what specific vocational role is he engaged in within the societal framework?",0.996410310268402,2.2942857142857145,68.0,6.9334782608695775,17
18,What is John Floyd's occupation?,In what professional capacity does the individual known as John Floyd engage within the labor market?,0.9967167973518372,2.616,79.41176470588236,37.25750000000002,18
19,What is Sachiko Kokubu's occupation?,What vocational engagement does the individual known as Sachiko Kokubu partake in?,0.9953362345695496,1.88125,73.07692307692307,11.355000000000018,19
20,What is Rudolf Hilferding's occupation?,In what professional capacity does Rudolf Hilferding engage within the broader societal and intellectual frameworks?,0.996722400188446,1.356,81.25,-0.1499999999999772,20
21,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","In what capacity or professional engagement does Charles Strachey, who holds the title of the 4th Baron O'Hagan, partake in his vocational endeavors?",0.997066080570221,1.7230769230769232,71.15384615384616,30.90000000000003,21
22,What is Akari Hayami's occupation?,In what capacity does the individual known as Akari Hayami engage professionally within the socio-economic framework?,0.996894598007202,1.803,73.52941176470588,0.474117647058847,22
23,What is Richard Martin's occupation?,In what capacity does Richard Martin engage in professional endeavors?,0.9967101812362672,1.8614285714285717,77.27272727272728,19.02500000000001,23
24,"What is Harvey Peltier, Sr.'s occupation?","In what professional capacity or vocational engagement does one find Harvey Peltier, Sr. actively participating?",0.9971008896827698,1.6172727272727272,58.82352941176471,-3.817499999999995,24
25,What is Paris's occupation?,In what capacity or professional engagement does the entity known as Paris operate within the societal framework?,0.9967479705810548,2.318,77.77777777777777,10.42705882352942,25
26,What is Fairfax M. Cone's occupation?,In what particular professional capacity or vocational engagement does Fairfax M. Cone partake within the broader spectrum of occupational classifications?,0.9968750476837158,1.9335714285714285,85.71428571428571,-6.35499999999999,26
