Original Query,Query,Roberta Formality Ranking Score,Concreteness Score,Linguistic Formality Score,Readability
Where was César Ruiz Aquino educated?,"So, like, where did César Ruiz Aquino go to school?",0.21901407837867737,1.687142857142857,57.69230769230769,95.165
Where was Max Bernhauer educated?,"Hey, so like, where did Max Bernhauer go to school?",0.1529877632856369,2.3666666666666667,65.38461538461539,103.625
Where was Gladys Spellman educated?,"Hey, so like, where did Gladys Spellman go to school?",0.14868174493312836,2.0033333333333334,65.38461538461539,95.165
Where was Carl Skottsberg educated?,"So, like, where did Carl Skottsberg go to school, ya know?",0.024486185982823372,1.6862499999999998,53.333333333333336,103.37909090909093
Where was Zizi Papacharissi educated?,"Hey, so like, where did Zizi Papacharissi go to school or whatever?",0.133864626288414,2.0033333333333334,63.33333333333333,60.70500000000001
Where was Bill Sharman educated?,"So, like, where did Bill Sharman go to school?",0.16708238422870636,2.7483333333333335,54.166666666666664,103.70000000000002
Where was George Taylor Shillito Farquhar educated?,"So, like, where did George Taylor Shillito Farquhar go to school?",0.2032725214958191,1.4762499999999998,60.714285714285715,72.61545454545457
Where was Richard Goulding educated?,"So, like, where did Richard Goulding go to school?",0.1917094886302948,1.968333333333333,54.166666666666664,94.30000000000001
Where was Marie Rutkoski educated?,Where did Marie Rutkoski go to school?,0.9536436200141907,2.0780000000000003,56.25,90.95857142857145
Where was Buck Redfern educated?,"Hey, so like, where did Buck Redfern go to school?",0.14448155462741852,2.7816666666666667,65.38461538461539,103.625
Where was Robert Hadley educated?,"Hey, where did Robert Hadley go to school?",0.8292388319969177,2.0033333333333334,60.0,92.965
Where was Jayne Loader educated?,"Hey, so like, where did Jayne Loader go to school?",0.15976543724536896,2.5749999999999997,65.38461538461539,103.625
Where was Callie Visagie educated?,"Hey, do you know where Callie Visagie went to school?",0.6849333643913269,1.8299999999999998,50.0,103.625
Where was Enok Palm educated?,"So, like, where did Enok Palm go to school?",0.15386280417442322,2.7733333333333334,54.166666666666664,103.70000000000002
Where was Ray Marshall educated?,"Hey, where did Ray Marshall go to school?",0.7938826084136963,2.598333333333333,60.0,103.54
Where was John Schmitt educated?,"Hey, where did John Schmitt go to school?",0.7930478453636169,2.5833333333333335,60.0,114.11500000000001
Where was Julio Vallejo Ruiloba educated?,"Hey, so like, where did Julio Vallejo Ruiloba go to school?",0.17029264569282532,1.717142857142857,67.85714285714286,72.61545454545457
Where was Maria Langer educated?,"Hey, so where did Maria Langer go to school?",0.6880165934562683,1.9200000000000002,54.54545454545455,94.30000000000001
Where was Heinrich Rubens educated?,"Yo, where did that dude Heinrich Rubens go to school?",0.1884486824274063,2.045714285714286,66.66666666666667,95.165
Where was Hugh Sinclair educated?,"Yo, where did Hugh Sinclair go to school?",0.26890116930007935,1.7316666666666667,60.0,103.54
Where was John Deedes educated?,"So, like, where did John Deedes go to school?",0.17402730882167816,2.5483333333333333,54.166666666666664,103.70000000000002
Where was Nizar Hamdoon educated?,"So, like, where did Nizar Hamdoon go to school or whatever?",0.15737347304821014,1.968333333333333,53.57142857142857,80.30636363636367
Where was Susan Habernigg educated?,"Hey, do you know where Susan Habernigg went to school?",0.7560065388679504,1.8299999999999998,50.0,86.70500000000001
Where was Ita Vaea educated?,"Hey, where did that dude Ita Vaea go to school?",0.14925971627235413,2.2785714285714285,66.66666666666667,103.625
Where was David Edwards educated?,"Hey, so like, where did David Edwards go to school?",0.14214348793029785,2.0033333333333334,65.38461538461539,95.165
Where was Nike Wagner educated?,"Hey, where did Nike Wagner go to school?",0.7248400449752808,2.0033333333333334,60.0,103.54
Where was Jim Sleeper educated?,"Hey, so where did Jim Sleeper go to school? ",0.32146623730659485,2.4057142857142857,54.54545454545455,108.26750000000001
Where was John M. MacDougal educated?,"Yo, where did John M. MacDougal go to school?",0.30852290987968445,1.9814285714285715,63.63636363636363,98.8675
Where was Noam Nisan educated?,"So, like, where did Noam Nisan go to school and stuff?",0.15490160882472992,2.134285714285714,57.14285714285714,103.37909090909093
Where was Sam Byers educated?,"Hey, so like, where did Sam Byers go to school?",0.1413964182138443,2.0033333333333334,65.38461538461539,112.08500000000001
Where was Yinyu Ye educated?,"Hey, do ya know where Yinyu Ye went to school?",0.012422064319252968,1.6012499999999998,50.0,103.625
Where was Robert Easton educated?,"Hey, where'd Robert Easton go to school?",0.36287564039230347,1.9140000000000001,65.0,92.965
Where was Mike Southon educated?,"Hey, so like, where did Mike Southon go to school?",0.13697564601898193,2.7783333333333338,65.38461538461539,103.625
Where was Susannah Waters educated?,"Hey, so like, where did Susannah Waters go to school?",0.15278221666812897,2.0033333333333334,65.38461538461539,86.70500000000001
Where was Ted Kiendl educated?,"Hey, so like, where did Ted Kiendl go to school anyway?",0.10595192015171051,1.957142857142857,60.714285714285715,95.68818181818183
Where was Linden Blue educated?,"Hey, do you know where Linden Blue went to school?",0.7406373023986816,2.367142857142857,50.0,103.625
Where was Mark D. Steinberg educated?,"Yo, where did Mark D. Steinberg go to school?",0.29567551612854004,2.085714285714286,63.63636363636363,108.26750000000001
Where was Elena Kamburova educated?,"Hey, so like, where did Elena Kamburova go to school?",0.16219133138656616,2.0033333333333334,65.38461538461539,69.78500000000001
Where was Samuel H. Woodson educated?,"Hey, so like, where did Samuel H. Woodson go to school?",0.1893184632062912,1.717142857142857,67.85714285714286,101.27068181818181
Where was Israel Kleiner educated?,"Hey, where did that dude Israel Kleiner go to school?",0.17813964188098907,2.2785714285714285,66.66666666666667,95.165
Where was Rick Cassata educated?,"Hey, where did Rick Cassata go to school?",0.8478971719741821,2.0033333333333334,60.0,92.965
Where was George William Lyttelton educated?,"So, like, where did George William Lyttelton go to school?",0.22845178842544556,1.687142857142857,57.69230769230769,86.70500000000001
Where was S. Gerald Arnold educated?,"Hey, do you happen to know where S. Gerald Arnold went to school?",0.7235381007194519,1.6211111111111112,50.0,96.11442307692309
Where was Toby Shapshak educated?,"Hey, where’d Toby Shapshak go to school, like, for real?",0.09468767791986465,1.50875,75.0,95.68818181818183
Where was Daud Kamal educated?,"So, like, where did Daud Kamal go to school?",0.17604051530361176,1.968333333333333,54.166666666666664,103.70000000000002
Where was Sarah McBride educated?,"Hey, where'd Sarah McBride go to school?",0.38304588198661804,1.9140000000000001,55.0,103.54
Where was Dhan Gopal Mukerji educated?,"Hey, so like, where did Dhan Gopal Mukerji go to school?",0.14765052497386932,1.717142857142857,67.85714285714286,87.99727272727276
Where was Leonora A. Hohl educated?,"So, like, where did Leonora A. Hohl go to school, ya know?",0.025849109515547752,1.4988888888888887,56.25,102.045
Where was Marion Perry Maus educated?,"Hey, so like, where did Marion Perry Maus go to school?",0.137661874294281,1.717142857142857,67.85714285714286,95.68818181818183
Where was Rhyu Si-min educated?,"Yo, where did Rhyu Si-min go to school?",0.3685777485370636,1.7316666666666667,50.0,113.10000000000002
