,Original Query,modified_query,Roberta Formality Ranking Score,Concreteness Score,Linguistic Formality Score,Readability,question_id
0,What is George Rankin's occupation?,"So, what's the deal with George Rankin? Like, what does he even do for a living?",0.209324225783348,1.88125,52.38095238095238,98.67808823529413,0
1,What is John Mayne's occupation?,"So, like, what does John Mayne do for a living?",0.1834386587142944,2.106666666666667,57.69230769230769,103.625,1
2,What is Henry Feilden's occupation?,"So, like, what does Henry Feilden do for a living?",0.1848171204328537,1.5266666666666666,57.69230769230769,86.70500000000001,2
3,What is Kathy Saltzman's occupation?,"So, like, what's Kathy Saltzman do for a living?",0.1216607615351677,1.153333333333333,57.69230769230769,86.70500000000001,3
4,What is Eleanor Davis's occupation?,"Hey, so like, what does Eleanor Davis do for a living?",0.1614192575216293,1.5616666666666668,67.85714285714286,80.30636363636367,4
5,What is Alexander Rinnooy Kan's occupation?,"So, like, what's the deal with Alexander Rinnooy Kan? What does he do for a living?",0.1828523278236389,1.362222222222222,57.14285714285714,88.72514705882354,5
6,What is Scooter Braun's occupation?,"So, like, what does Scooter Braun even do for a living?",0.1383429616689682,2.415714285714286,53.57142857142857,87.99727272727276,6
7,What is Leona Detiège's occupation?,"So, like, what does Leona Detiège do for a living?",0.1861541122198104,1.5266666666666666,57.69230769230769,86.70500000000001,7
8,"What is William Murray, 1st Earl of Mansfield's occupation?","So, like, what did William Murray, the 1st Earl of Mansfield, actually do for a living?",0.3064726889133453,1.51,61.9047619047619,74.27000000000001,8
9,What is Þorsteinn Bachmann's occupation?,"So, like, what does Þorsteinn Bachmann do for a living?",0.1601257920265197,1.5266666666666666,50.0,86.70500000000001,9
10,What is Herlyn Espinal's occupation?,"So, like, what's the deal with Herlyn Espinal? What does she do for work?",0.1523679196834564,1.5875,52.63157894736842,97.7025,10
11,What is Jacob Kraemer's occupation?,"So, like, what does Jacob Kraemer do for a living?",0.1953420490026474,1.5266666666666666,57.69230769230769,86.70500000000001,11
12,What is Fred C. Newmeyer's occupation?,"So, like, what does Fred C. Newmeyer do for a living?",0.1744052618741989,1.3085714285714285,60.714285714285715,101.2706818181818,12
13,What is Edward Corser's occupation?,What's Edward Corser do for a living?,0.3773360550403595,1.1,61.111111111111114,82.39000000000001,13
14,What is Bae Geu-rin's occupation?,"So, like, what's Bae Geu-rin do for a living?",0.104022778570652,1.153333333333333,57.69230769230769,103.37909090909092,14
15,What is Javier Alva Orlandini's occupation?,"Hey, so what's Javier Alva Orlandini do for a living, like what's his job?",0.1424031108617782,1.1466666666666667,60.526315789473685,74.27000000000001,15
16,What is Edgar Allan Poe's occupation?,"So, like, what does Edgar Allan Poe actually do for a living?",0.1915492117404937,1.31625,56.666666666666664,74.805,16
18,What is John Floyd's occupation?,"So, like, what's the deal with John Floyd? What does he do for a living?",0.1655340641736984,1.9675,55.0,108.8275,17
19,What is Sachiko Kokubu's occupation?,"Hey, so like, what does Sachiko Kokubu even do for a living?",0.1138199418783187,1.737142857142857,63.333333333333336,67.75500000000001,18
20,What is Rudolf Hilferding's occupation?,"So, like, what’s the deal with Rudolf Hilferding? What did he even do for a living?",0.1743324697017669,1.6955555555555553,52.27272727272728,88.72514705882354,19
21,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","So, like, what does Charles Strachey, 4th Baron O'Hagan actually do for a living?",0.2455128878355026,1.63,58.33333333333333,67.53000000000003,20
23,What is Richard Martin's occupation?,"So, like, what's Richard Martin do for a living?",0.1112585067749023,1.7333333333333334,57.69230769230769,86.70500000000001,21
24,"What is Harvey Peltier, Sr.'s occupation?","So, like, what's the deal with Harvey Peltier, Sr.? What does he do for work?",0.1696667671203613,1.411111111111111,54.76190476190476,103.54,22
