Original Query,Query,Roberta Formality Ranking Score,Concreteness Score,Linguistic Formality Score,Readability,possible_answers
Where was César Ruiz Aquino educated?,"So, like, where did César Ruiz Aquino go to school?",0.2190140783786773,1.687142857142857,57.69230769230769,95.165,['Silliman University']
Where was Max Bernhauer educated?,"Hey, so like, where did Max Bernhauer go to school?",0.1529877632856369,2.3666666666666667,65.38461538461539,103.625,['University of Vienna']
Where was Gladys Spellman educated?,"Hey, so like, where did Gladys Spellman go to school?",0.1486817449331283,2.0033333333333334,65.38461538461539,95.165,['George Washington University']
Where was Carl Skottsberg educated?,"So, like, where did Carl Skottsberg go to school, ya know?",0.0244861859828233,1.6862499999999998,53.333333333333336,103.37909090909092,['Uppsala University']
Where was Zizi Papacharissi educated?,"Hey, so like, where did Zizi Papacharissi go to school or whatever?",0.133864626288414,2.0033333333333334,63.33333333333333,60.70500000000001,['University of Texas at Austin']
Where was Bill Sharman educated?,"So, like, where did Bill Sharman go to school?",0.1670823842287063,2.7483333333333335,54.166666666666664,103.70000000000002,['University of Southern California']
Where was George Taylor Shillito Farquhar educated?,"So, like, where did George Taylor Shillito Farquhar go to school?",0.2032725214958191,1.4762499999999998,60.714285714285715,72.61545454545457,['Keble College']
Where was Richard Goulding educated?,"So, like, where did Richard Goulding go to school?",0.1917094886302948,1.968333333333333,54.166666666666664,94.3,['Guildhall School of Music and Drama']
Where was Buck Redfern educated?,"Hey, so like, where did Buck Redfern go to school?",0.1444815546274185,2.7816666666666667,65.38461538461539,103.625,['North Carolina State University']
Where was Jayne Loader educated?,"Hey, so like, where did Jayne Loader go to school?",0.1597654372453689,2.5749999999999997,65.38461538461539,103.625,['Reed College']
Where was Enok Palm educated?,"So, like, where did Enok Palm go to school?",0.1538628041744232,2.7733333333333334,54.166666666666664,103.70000000000002,['University of Oslo']
Where was Julio Vallejo Ruiloba educated?,"Hey, so like, where did Julio Vallejo Ruiloba go to school?",0.1702926456928253,1.717142857142857,67.85714285714286,72.61545454545457,['University of Barcelona']
Where was Heinrich Rubens educated?,"Yo, where did that dude Heinrich Rubens go to school?",0.1884486824274063,2.045714285714286,66.66666666666667,95.165,['Humboldt University of Berlin']
Where was Hugh Sinclair educated?,"Yo, where did Hugh Sinclair go to school?",0.2689011693000793,1.731666666666667,60.0,103.54,['Charterhouse School']
Where was John Deedes educated?,"So, like, where did John Deedes go to school?",0.1740273088216781,2.5483333333333333,54.166666666666664,103.70000000000002,['Trinity College']
Where was Nizar Hamdoon educated?,"So, like, where did Nizar Hamdoon go to school or whatever?",0.1573734730482101,1.968333333333333,53.57142857142857,80.30636363636367,['University of Baghdad']
Where was Ita Vaea educated?,"Hey, where did that dude Ita Vaea go to school?",0.1492597162723541,2.2785714285714285,66.66666666666667,103.625,['Nelson College']
Where was David Edwards educated?,"Hey, so like, where did David Edwards go to school?",0.1421434879302978,2.0033333333333334,65.38461538461539,95.165,['Harvard University']
Where was Jim Sleeper educated?,"Hey, so where did Jim Sleeper go to school? ",0.3214662373065948,2.4057142857142857,54.54545454545455,108.2675,['Yale University']
Where was John M. MacDougal educated?,"Yo, where did John M. MacDougal go to school?",0.3085229098796844,1.9814285714285715,63.63636363636363,98.8675,['Duke University']
Where was Noam Nisan educated?,"So, like, where did Noam Nisan go to school and stuff?",0.1549016088247299,2.134285714285714,57.14285714285714,103.37909090909092,['Hebrew University of Jerusalem']
Where was Sam Byers educated?,"Hey, so like, where did Sam Byers go to school?",0.1413964182138443,2.0033333333333334,65.38461538461539,112.085,['University of East Anglia']
Where was Yinyu Ye educated?,"Hey, do ya know where Yinyu Ye went to school?",0.0124220643192529,1.6012499999999998,50.0,103.625,['Stanford University']
Where was Robert Easton educated?,"Hey, where'd Robert Easton go to school?",0.3628756403923034,1.914,65.0,92.965,['Johns Hopkins University']
Where was Mike Southon educated?,"Hey, so like, where did Mike Southon go to school?",0.1369756460189819,2.7783333333333338,65.38461538461539,103.625,['Imperial College London']
Where was Susannah Waters educated?,"Hey, so like, where did Susannah Waters go to school?",0.1527822166681289,2.0033333333333334,65.38461538461539,86.70500000000001,['Bennington College']
Where was Ted Kiendl educated?,"Hey, so like, where did Ted Kiendl go to school anyway?",0.1059519201517105,1.957142857142857,60.714285714285715,95.68818181818185,['Columbia Law School']
Where was Mark D. Steinberg educated?,"Yo, where did Mark D. Steinberg go to school?",0.29567551612854,2.085714285714286,63.63636363636363,108.2675,['Harvard University']
Where was Elena Kamburova educated?,"Hey, so like, where did Elena Kamburova go to school?",0.1621913313865661,2.0033333333333334,65.38461538461539,69.78500000000001,['Russian Institute of Theatre Arts']
Where was Samuel H. Woodson educated?,"Hey, so like, where did Samuel H. Woodson go to school?",0.1893184632062912,1.717142857142857,67.85714285714286,101.2706818181818,['Transylvania University']
